"---PBT Bankroll Export---"
id,starttime,endtime,breakminutes,playingminutes,variant,game,limit,tablesize,location,type,currency,exchangerate,buyin,cashout,netprofit,grossprofit,rebuys,rebuycosts,addoncosts,bounties,bountycosts,smallblind,bigblind,3rdblind,ante,expenses,expensesfromstack,handsperhour,place,player,itm,mttname,startstack,private,casinoid,staking,stakingpercent,sharesincomings,sharesoutgoings,stakingplayer,sessionnote,tags,notes,chipgraph,updatetimes
7919505,"2025-05-21 19:30:00","2025-05-22 01:12:00",0,342,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,790,40,40,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7913529,"2025-05-21 02:00:00","2025-05-21 03:06:00",0,66,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,815,65,65,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7913040,"2025-05-20 18:30:00","2025-05-21 00:40:00",0,370,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1735,985,985,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7884003,"2025-05-16 18:50:00","2025-05-17 00:41:00",0,351,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1045,43,-1002,-1002,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"1. i folded top-top on a big pot to a fish because river was a flush -> badly played as fk.

2. I went all in with QQ vs min click (240$). bye bye 860$, he has KK.",,[],[],[]
7877060,"2025-05-15 19:00:00","2025-05-16 02:00:00",0,420,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,900,325,-575,-575,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"AA, i 3-bet to $120, Qxx flop, ibet turn 75$ he snaps, i bet river 7 for $125 he only calls with 77 😂",,[],[],[]
7639992,"2025-04-11 20:00:00","2025-04-12 03:38:00",0,458,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1300,340,-960,-960,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7631490,"2025-04-10 17:00:00","2025-04-11 02:01:00",0,541,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1300,300,-1000,-1000,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"KK I open to 15$, two callers (HJ,BU), flop 235r check to BU who bets 25$ call call. Flop 8 X X BU bets 75$ only I call.

River 8 x he bets 200$.
Players is an older man and I don’t think he’s bluffing. i should have folded on the river. 5/10
minus 400$


A4cc i 3-bet villian 4-bets big minus 120$, that was ok

AKss I 3-bet to 80$ fish utg+1 calls, flop QTx one spade he goes 100$ i call. turn blank he shoves for 600$. minus 180$, that was ok.

Another AK, i 3-bet the fish to 80$, flop T88 i go 25$ he calls, turn x/x river he jams, minus 105$, that was ok except the flop where i should bet 25%, 40$ and not 25$

7/10",,[],[],[]
7612327,"2025-04-07 18:50:00","2025-04-08 01:30:00",0,400,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1030,280,280,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7594454,"2025-04-05 16:00:00","2025-04-06 00:55:00",0,535,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1510,1690,180,180,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7586128,"2025-04-04 17:35:00","2025-04-05 00:48:00",0,433,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,460,-290,-290,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7578191,"2025-04-03 18:40:00","2025-04-04 00:16:00",0,336,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,855,105,105,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
